Date,open,high,low,close
7/31/13,0.8307285,0.8444785,0.8258325,0.8307285
8/1/13,0.8476035,0.859374,0.844895,0.8560405
8/2/13,0.856666,0.870624,0.8506345,0.8703115
8/5/13,0.8672905,0.8738535,0.8639575,0.8721865
8/6/13,0.8683325,0.8708325,0.8458325,0.856666
8/7/13,0.848645,0.8560405,0.83302,0.85177
8/8/13,0.8659365,0.869895,0.847499,0.863124
8/9/13,0.86052,0.8688535,0.8463535,0.8538535
8/12/13,0.843645,0.8639575,0.843541,0.859166
8/13/13,0.8627075,0.8798295,0.8444785,0.8734365
8/14/13,0.872916,0.8766555,0.860416,0.863749
8/15/13,0.8353115,0.83552,0.8132285,0.8204155
8/16/13,0.820624,0.8314575,0.814801,0.817499
8/19/13,0.8204155,0.839791,0.814166,0.81427
8/20/13,0.819895,0.836666,0.817291,0.825416
8/21/13,0.8182285,0.838645,0.8082285,0.8171865
8/22/13,0.82677,0.842276,0.826041,0.84052
8/23/13,0.8590615,0.860624,0.849374,0.8582285
8/26/13,0.859373,0.878124,0.853548,0.8589575
8/27/13,0.828645,0.8407285,0.80052,0.804895
8/28/13,0.804374,0.825624,0.8034365,0.8153115
